utc_time,local_time,PM2.5,CO,PM10,NO2,Temperature,Humidity,Wind Speed,AQI_CO,AQI_NO2,AQI_PM10,AQI_PM2.5,AQI
2024-01-29 15:00:00+00:00,2024-01-29 22:00:00+07:00,45.7,909.0,75.1,18.51102066040039,14.0,75.0,1.24,9.0,9.0,61.0,126.0,126.0
2024-01-29 16:00:00+00:00,2024-01-29 23:00:00+07:00,48.6,748.0,77.7,18.336715698242188,14.0,76.0,0.92,7.0,9.0,62.0,133.0,133.0
2024-01-29 17:00:00+00:00,2024-01-30 00:00:00+07:00,52.7,748.0,65.1,18.336715698242188,14.0,77.0,1.12,7.0,9.0,56.0,143.0,143.0
2024-01-29 18:00:00+00:00,2024-01-30 01:00:00+07:00,49.7,640.0,78.5,18.11254501342773,14.0,77.0,1.35,6.0,9.0,63.0,136.0,136.0
2024-01-29 19:00:00+00:00,2024-01-30 02:00:00+07:00,53.0,638.0,71.3,18.761615753173828,13.0,78.0,1.36,6.0,9.0,59.0,144.0,144.0
2024-01-29 20:00:00+00:00,2024-01-30 03:00:00+07:00,49.6,503.0,64.6,18.761615753173828,13.0,79.0,1.2,5.0,9.0,56.0,136.0,136.0
2024-01-29 21:00:00+00:00,2024-01-30 04:00:00+07:00,45.9,514.0,66.1,18.761615753173828,13.0,80.0,1.09,5.0,9.0,56.0,127.0,127.0
2024-01-29 22:00:00+00:00,2024-01-30 05:00:00+07:00,50.2,424.0,70.3,18.761615753173828,13.0,80.0,1.1,4.0,9.0,59.0,137.0,137.0
2024-01-29 23:00:00+00:00,2024-01-30 06:00:00+07:00,50.6,514.0,66.0,18.761615753173828,13.0,80.0,1.17,5.0,9.0,56.0,138.0,138.0
2024-01-30 00:00:00+00:00,2024-01-30 07:00:00+07:00,44.5,644.0,54.9,16.773433685302734,13.0,81.0,1.38,6.0,8.0,0.0,123.0,123.0
2024-01-30 01:00:00+00:00,2024-01-30 08:00:00+07:00,45.6,983.0,59.7,19.68952751159668,13.0,80.0,1.21,10.0,10.0,53.0,126.0,126.0
2024-01-30 02:00:00+00:00,2024-01-30 09:00:00+07:00,41.3,974.0,64.4,19.040456771850582,13.0,77.0,1.2,10.0,10.0,56.0,115.0,115.0
2024-01-30 03:00:00+00:00,2024-01-30 10:00:00+07:00,63.2,1040.0,64.5,18.26119041442871,14.0,75.0,1.53,10.0,9.0,56.0,156.0,156.0
2024-01-30 04:00:00+00:00,2024-01-30 11:00:00+07:00,56.5,920.0,68.4,19.040456771850582,15.0,73.0,1.28,9.0,10.0,58.0,152.0,152.0
2024-01-30 05:00:00+00:00,2024-01-30 12:00:00+07:00,60.2,960.0,71.5,16.738096237182617,16.0,70.0,1.03,10.0,8.0,59.0,154.0,154.0
2024-01-30 06:00:00+00:00,2024-01-30 13:00:00+07:00,67.8,915.0,75.4,16.208660125732422,16.0,67.0,1.25,9.0,8.0,61.0,160.0,160.0
2024-01-30 07:00:00+00:00,2024-01-30 14:00:00+07:00,69.2,1040.0,78.9,16.208660125732422,16.0,64.0,1.53,10.0,8.0,63.0,161.0,161.0
2024-01-30 08:00:00+00:00,2024-01-30 15:00:00+07:00,58.9,1080.0,76.4,15.757976531982422,16.0,62.0,2.24,11.0,8.0,62.0,153.0,153.0
2024-01-30 09:00:00+00:00,2024-01-30 16:00:00+07:00,71.4,1320.0,79.8,23.14599800109864,16.0,62.0,2.4,13.0,12.0,63.0,162.0,162.0
2024-01-30 10:00:00+00:00,2024-01-30 17:00:00+07:00,69.9,1480.0,82.8,25.14388084411621,16.0,64.0,2.8,15.0,13.0,65.0,161.0,161.0
2024-01-30 11:00:00+00:00,2024-01-30 18:00:00+07:00,62.9,1690.0,76.3,28.4942569732666,16.0,68.0,2.66,17.0,14.0,62.0,156.0,156.0
2024-01-30 12:00:00+00:00,2024-01-30 19:00:00+07:00,66.2,1610.0,98.1,28.303152084350582,16.0,72.0,2.28,16.0,14.0,72.0,159.0,159.0
2024-01-30 13:00:00+00:00,2024-01-30 20:00:00+07:00,68.3,1660.0,99.2,30.90070343017578,16.0,73.0,2.1,16.0,15.0,73.0,160.0,160.0
2024-01-30 14:00:00+00:00,2024-01-30 21:00:00+07:00,62.5,1530.0,108.0,27.55032730102539,16.0,76.0,2.14,15.0,14.0,77.0,156.0,156.0
2024-01-30 15:00:00+00:00,2024-01-30 22:00:00+07:00,53.2,1440.0,93.5,29.485694885253903,16.0,79.0,2.16,14.0,15.0,70.0,145.0,145.0
2024-01-30 16:00:00+00:00,2024-01-30 23:00:00+07:00,57.5,1310.0,94.5,30.2558536529541,16.0,83.0,2.29,13.0,15.0,71.0,152.0,152.0
2024-01-30 17:00:00+00:00,2024-01-31 00:00:00+07:00,46.9,1240.0,89.5,28.26618766784668,16.0,85.0,2.39,12.0,14.0,68.0,129.0,129.0
2024-01-30 18:00:00+00:00,2024-01-31 01:00:00+07:00,53.2,1030.0,82.7,22.19889640808105,16.0,87.0,1.51,10.0,11.0,65.0,145.0,145.0
2024-01-30 19:00:00+00:00,2024-01-31 02:00:00+07:00,49.3,902.0,78.0,22.19889640808105,16.0,84.0,1.32,9.0,11.0,62.0,135.0,135.0
2024-01-30 20:00:00+00:00,2024-01-31 03:00:00+07:00,38.8,764.0,70.2,21.46088981628418,15.0,85.0,0.93,8.0,11.0,59.0,109.0,109.0
2024-01-30 21:00:00+00:00,2024-01-31 04:00:00+07:00,44.8,735.0,63.6,21.236719131469727,15.0,86.0,1.25,7.0,11.0,55.0,124.0,124.0
2024-01-30 22:00:00+00:00,2024-01-31 05:00:00+07:00,36.9,601.0,60.2,21.236719131469727,15.0,87.0,1.02,6.0,11.0,54.0,104.0,104.0
2024-01-30 23:00:00+00:00,2024-01-31 06:00:00+07:00,32.8,619.0,56.5,21.236719131469727,15.0,88.0,0.43,6.0,11.0,52.0,95.0,95.0
2024-01-31 00:00:00+00:00,2024-01-31 07:00:00+07:00,23.6,684.0,47.7,19.69269180297852,15.0,88.0,0.43,7.0,10.0,44.0,78.0,78.0
2024-01-31 01:00:00+00:00,2024-01-31 08:00:00+07:00,28.5,910.0,35.1,20.748828887939453,15.0,87.0,1.13,9.0,10.0,32.0,87.0,87.0
2024-01-31 02:00:00+00:00,2024-01-31 09:00:00+07:00,20.9,831.0,41.8,12.117300987243652,16.0,86.0,1.03,8.0,6.0,39.0,73.0,73.0
2024-01-31 03:00:00+00:00,2024-01-31 10:00:00+07:00,15.2,818.0,36.4,11.700840950012209,16.0,84.0,1.44,8.0,6.0,34.0,62.0,62.0
2024-01-31 04:00:00+00:00,2024-01-31 11:00:00+07:00,13.4,725.0,49.9,10.422690391540527,17.0,82.0,1.04,7.0,5.0,46.0,59.0,59.0
2024-01-31 05:00:00+00:00,2024-01-31 12:00:00+07:00,20.2,777.0,49.1,8.904191017150879,17.0,80.0,1.15,8.0,4.0,45.0,72.0,72.0
2024-01-31 06:00:00+00:00,2024-01-31 13:00:00+07:00,21.2,782.0,62.3,11.26827907562256,18.0,76.0,0.91,8.0,6.0,55.0,74.0,74.0
2024-01-31 07:00:00+00:00,2024-01-31 14:00:00+07:00,16.7,899.0,55.8,10.710150718688965,18.0,74.0,1.54,9.0,5.0,51.0,65.0,65.0
2024-01-31 08:00:00+00:00,2024-01-31 15:00:00+07:00,25.7,1060.0,66.2,18.23504638671875,18.0,72.0,2.05,11.0,9.0,57.0,82.0,82.0
2024-01-31 09:00:00+00:00,2024-01-31 16:00:00+07:00,28.2,1470.0,68.9,29.30594253540039,19.0,74.0,3.12,15.0,15.0,58.0,87.0,87.0
2024-01-31 10:00:00+00:00,2024-01-31 17:00:00+07:00,34.1,1490.0,92.7,28.219257354736328,19.0,77.0,2.29,15.0,14.0,70.0,98.0,98.0
2024-01-31 11:00:00+00:00,2024-01-31 18:00:00+07:00,32.3,1860.0,89.8,33.639034271240234,18.0,81.0,1.8,18.0,17.0,68.0,94.0,94.0
2024-01-31 12:00:00+00:00,2024-01-31 19:00:00+07:00,36.7,2020.0,111.0,35.874881744384766,18.0,86.0,1.63,20.0,18.0,79.0,104.0,104.0
2024-01-31 13:00:00+00:00,2024-01-31 20:00:00+07:00,38.9,2160.0,114.0,35.874881744384766,17.0,87.0,1.6,21.0,18.0,80.0,109.0,109.0
2024-01-31 14:00:00+00:00,2024-01-31 21:00:00+07:00,40.1,2290.0,132.0,35.874881744384766,17.0,88.0,1.53,23.0,18.0,89.0,112.0,112.0
2024-01-31 15:00:00+00:00,2024-01-31 22:00:00+07:00,44.5,2730.0,134.0,35.73387908935547,17.0,90.0,1.74,27.0,18.0,90.0,123.0,123.0
2024-01-31 16:00:00+00:00,2024-01-31 23:00:00+07:00,47.5,2900.0,142.0,35.73387908935547,17.0,91.0,1.81,29.0,18.0,94.0,131.0,131.0
2024-01-31 17:00:00+00:00,2024-02-01 00:00:00+07:00,44.8,2860.0,134.0,35.73387908935547,17.0,92.0,1.76,28.0,18.0,90.0,124.0,124.0
2024-01-31 18:00:00+00:00,2024-02-01 01:00:00+07:00,44.6,2440.0,136.0,35.874881744384766,17.0,95.0,1.47,24.0,18.0,91.0,123.0,123.0
2024-01-31 19:00:00+00:00,2024-02-01 02:00:00+07:00,33.0,1900.0,115.0,35.874881744384766,17.0,95.0,1.36,19.0,18.0,81.0,96.0,96.0
2024-01-31 20:00:00+00:00,2024-02-01 03:00:00+07:00,38.1,1680.0,93.1,35.874881744384766,17.0,96.0,1.12,17.0,18.0,70.0,107.0,107.0
2024-01-31 21:00:00+00:00,2024-02-01 04:00:00+07:00,26.7,1500.0,90.0,33.7716178894043,17.0,96.0,1.03,15.0,17.0,68.0,84.0,84.0
2024-01-31 22:00:00+00:00,2024-02-01 05:00:00+07:00,19.9,1210.0,80.3,23.07435417175293,17.0,96.0,0.96,12.0,12.0,64.0,71.0,71.0
2024-01-31 23:00:00+00:00,2024-02-01 06:00:00+07:00,20.304168701171875,1127.0115966796875,74.99955749511719,17.701627731323242,17.0,96.0,0.6,11.0,9.0,61.0,72.0,72.0
2024-02-01 00:00:00+00:00,2024-02-01 07:00:00+07:00,34.98638916015625,1536.772216796875,68.32037353515625,44.35922622680664,17.0,96.0,0.5,15.0,22.0,58.0,99.0,99.0
2024-02-01 01:00:00+00:00,2024-02-01 08:00:00+07:00,28.852384567260746,1444.849365234375,51.15283966064453,41.84173202514648,17.0,93.0,0.77,14.0,21.0,47.0,88.0,88.0
2024-02-01 02:00:00+00:00,2024-02-01 09:00:00+07:00,22.85211563110352,995.2662353515624,50.842079162597656,23.09024429321289,18.0,90.0,1.15,10.0,12.0,47.0,77.0,77.0
2024-02-01 03:00:00+00:00,2024-02-01 10:00:00+07:00,23.08171844482422,941.8717651367188,50.18344879150391,23.09024429321289,18.0,88.0,1.1,9.0,12.0,46.0,77.0,77.0
2024-02-01 04:00:00+00:00,2024-02-01 11:00:00+07:00,22.50025749206543,943.2002563476562,50.5395736694336,23.09024429321289,19.0,83.0,1.14,9.0,12.0,47.0,76.0,76.0
2024-02-01 05:00:00+00:00,2024-02-01 12:00:00+07:00,25.00401496887207,972.6318969726562,54.02211380004883,28.36699485778809,20.0,78.0,0.5,10.0,14.0,0.0,81.0,81.0
2024-02-01 06:00:00+00:00,2024-02-01 13:00:00+07:00,20.511863708496094,964.4367065429688,44.44790267944336,17.349834442138672,21.0,72.0,1.67,10.0,9.0,41.0,72.0,72.0
2024-02-01 07:00:00+00:00,2024-02-01 14:00:00+07:00,19.828067779541016,949.4613647460938,42.11261367797852,16.119884490966797,21.0,67.0,2.25,9.0,8.0,39.0,71.0,71.0
2024-02-01 08:00:00+00:00,2024-02-01 15:00:00+07:00,22.423471450805664,1062.3663330078125,42.47452545166016,18.64893341064453,21.0,63.0,3.18,11.0,9.0,39.0,76.0,76.0
2024-02-01 09:00:00+00:00,2024-02-01 16:00:00+07:00,22.31217193603516,1214.1331787109375,37.99419784545898,24.928194046020508,21.0,63.0,4.23,12.0,13.0,35.0,76.0,76.0
2024-02-01 10:00:00+00:00,2024-02-01 17:00:00+07:00,19.83907127380371,1546.20849609375,38.35346603393555,29.949281692504883,21.0,69.0,4.49,15.0,15.0,36.0,71.0,71.0
2024-02-01 11:00:00+00:00,2024-02-01 18:00:00+07:00,18.26683807373047,1624.62646484375,41.0654182434082,36.07137680053711,21.0,75.0,4.1,16.0,18.0,38.0,68.0,68.0
2024-02-01 12:00:00+00:00,2024-02-01 19:00:00+07:00,20.95884132385254,1138.70458984375,51.21095657348633,30.732845306396484,21.0,82.0,2.74,11.0,15.0,47.0,73.0,73.0
2024-02-01 13:00:00+00:00,2024-02-01 20:00:00+07:00,18.256498336791992,838.8028564453125,49.52749252319336,22.681781768798828,20.0,86.0,2.97,8.0,11.0,46.0,68.0,68.0
2024-02-01 14:00:00+00:00,2024-02-01 21:00:00+07:00,18.558801651000977,794.3257446289062,50.56757354736328,21.94377517700196,20.0,88.0,2.73,8.0,11.0,47.0,69.0,69.0
2024-02-01 15:00:00+00:00,2024-02-01 22:00:00+07:00,17.67099380493164,768.0970458984375,47.90084838867188,21.94377517700196,20.0,89.0,3.1,8.0,11.0,44.0,67.0,67.0
2024-02-01 16:00:00+00:00,2024-02-01 23:00:00+07:00,18.36966896057129,721.1091918945312,44.122215270996094,21.7196044921875,20.0,90.0,3.42,7.0,11.0,41.0,68.0,68.0
2024-02-01 17:00:00+00:00,2024-02-02 00:00:00+07:00,18.27043533325196,713.4046630859375,43.48678970336914,21.7196044921875,20.0,90.0,3.4,7.0,11.0,40.0,68.0,68.0
2024-02-01 18:00:00+00:00,2024-02-02 01:00:00+07:00,17.106416702270508,713.4046630859375,43.358245849609375,21.09434127807617,20.0,91.0,3.57,7.0,11.0,40.0,66.0,66.0
2024-02-01 19:00:00+00:00,2024-02-02 02:00:00+07:00,17.20188331604004,740.82958984375,43.42824172973633,21.09434127807617,20.0,91.0,4.01,7.0,11.0,40.0,66.0,66.0
2024-02-01 20:00:00+00:00,2024-02-02 03:00:00+07:00,17.172775268554688,754.34716796875,43.42824172973633,21.318511962890625,20.0,91.0,3.79,7.0,11.0,40.0,66.0,66.0
2024-02-01 21:00:00+00:00,2024-02-02 04:00:00+07:00,17.17711067199707,765.1121826171875,43.42824172973633,21.318511962890625,20.0,91.0,3.96,8.0,11.0,40.0,66.0,66.0
2024-02-01 22:00:00+00:00,2024-02-02 05:00:00+07:00,16.875539779663086,898.2275390625,43.07116317749024,22.0565185546875,20.0,90.0,4.09,9.0,11.0,40.0,65.0,65.0
2024-02-01 23:00:00+00:00,2024-02-02 06:00:00+07:00,17.15274429321289,818.3320922851562,41.05366134643555,22.920934677124023,20.0,91.0,3.89,8.0,11.0,38.0,66.0,66.0
2024-02-02 00:00:00+00:00,2024-02-02 07:00:00+07:00,21.89822769165039,1413.711181640625,40.3281478881836,35.674781799316406,20.0,91.0,3.55,14.0,18.0,37.0,75.0,75.0
2024-02-02 01:00:00+00:00,2024-02-02 08:00:00+07:00,19.98683357238769,1382.5162353515625,35.0890998840332,34.87913513183594,20.0,87.0,3.99,14.0,17.0,32.0,71.0,71.0
2024-02-02 02:00:00+00:00,2024-02-02 09:00:00+07:00,20.41993904113769,1071.65771484375,37.4942741394043,22.178466796875,20.0,76.0,4.69,11.0,11.0,35.0,72.0,72.0
2024-02-02 03:00:00+00:00,2024-02-02 10:00:00+07:00,24.48743057250977,1076.0054931640625,41.2005729675293,25.82929229736328,20.0,67.0,5.27,11.0,13.0,38.0,80.0,80.0
2024-02-02 04:00:00+00:00,2024-02-02 11:00:00+07:00,24.45657730102539,1089.89501953125,42.67254257202149,24.96487808227539,20.0,63.0,5.46,11.0,13.0,40.0,80.0,80.0
2024-02-02 05:00:00+00:00,2024-02-02 12:00:00+07:00,21.540271759033203,1128.292236328125,34.09278869628906,20.08490753173828,22.0,65.0,5.51,11.0,10.0,32.0,74.0,74.0
2024-02-02 06:00:00+00:00,2024-02-02 13:00:00+07:00,25.79952812194824,1113.611083984375,34.61107635498047,25.29985618591309,25.0,57.0,5.79,11.0,13.0,32.0,82.0,82.0
2024-02-02 07:00:00+00:00,2024-02-02 14:00:00+07:00,24.88981437683105,1111.03759765625,35.387752532958984,25.29985618591309,25.0,60.0,6.34,11.0,13.0,33.0,80.0,80.0
2024-02-02 08:00:00+00:00,2024-02-02 15:00:00+07:00,24.450119018554688,1207.770751953125,33.69955062866211,30.714704513549805,25.0,65.0,6.46,12.0,15.0,31.0,80.0,80.0
2024-02-02 09:00:00+00:00,2024-02-02 16:00:00+07:00,24.8659610748291,1252.7388916015625,32.52662658691406,32.40357208251953,26.0,67.0,6.66,12.0,16.0,30.0,80.0,80.0
2024-02-02 10:00:00+00:00,2024-02-02 17:00:00+07:00,22.684255599975582,1654.332763671875,39.103816986083984,33.14860153198242,26.0,70.0,6.43,16.0,17.0,36.0,76.0,76.0
2024-02-02 11:00:00+00:00,2024-02-02 18:00:00+07:00,20.995439529418945,1680.759033203125,43.174591064453125,34.419864654541016,24.0,76.0,5.22,17.0,17.0,40.0,73.0,73.0
2024-02-02 12:00:00+00:00,2024-02-02 19:00:00+07:00,17.457006454467773,1131.591796875,41.95419692993164,26.09229278564453,23.0,77.0,4.61,11.0,13.0,39.0,67.0,67.0
2024-02-02 13:00:00+00:00,2024-02-02 20:00:00+07:00,16.732158660888672,1049.3319091796875,41.89992904663086,22.349721908569336,23.0,81.0,4.14,10.0,11.0,39.0,65.0,65.0
2024-02-02 14:00:00+00:00,2024-02-02 21:00:00+07:00,16.57435417175293,803.5208129882812,41.85427474975586,21.318511962890625,22.0,83.0,3.83,8.0,11.0,39.0,65.0,65.0
2024-02-02 15:00:00+00:00,2024-02-02 22:00:00+07:00,10.9,463.0,43.9,21.09434127807617,22.0,84.0,4.06,5.0,11.0,41.0,54.0,54.0
2024-02-02 16:00:00+00:00,2024-02-02 23:00:00+07:00,8.44,498.0,35.7,21.95875740051269,22.0,85.0,4.46,5.0,11.0,33.0,47.0,47.0
2024-02-02 17:00:00+00:00,2024-02-03 00:00:00+07:00,7.8,562.0,38.0,21.95875740051269,22.0,87.0,3.9,6.0,11.0,35.0,43.0,43.0
2024-02-02 18:00:00+00:00,2024-02-03 01:00:00+07:00,6.05,490.0,38.1,21.95875740051269,21.0,89.0,4.08,5.0,11.0,35.0,34.0,35.0
2024-02-02 19:00:00+00:00,2024-02-03 02:00:00+07:00,12.0,373.0,27.8,21.95875740051269,21.0,91.0,3.92,4.0,11.0,26.0,56.0,56.0
2024-02-02 20:00:00+00:00,2024-02-03 03:00:00+07:00,10.0,316.0,28.9,21.95875740051269,21.0,92.0,3.82,3.0,11.0,27.0,53.0,53.0
2024-02-02 21:00:00+00:00,2024-02-03 04:00:00+07:00,7.79,298.0,30.8,21.95875740051269,21.0,93.0,3.84,3.0,11.0,29.0,43.0,43.0
2024-02-02 22:00:00+00:00,2024-02-03 05:00:00+07:00,6.9,306.0,22.3,21.95875740051269,21.0,93.0,3.95,3.0,11.0,21.0,38.0,38.0
2024-02-02 23:00:00+00:00,2024-02-03 06:00:00+07:00,5.95,353.0,15.8,21.95875740051269,21.0,94.0,3.92,4.0,11.0,15.0,33.0,33.0
2024-02-03 00:00:00+00:00,2024-02-03 07:00:00+07:00,4.65,416.0,20.3,22.71020698547364,21.0,93.0,3.86,4.0,11.0,19.0,26.0,26.0
2024-02-03 01:00:00+00:00,2024-02-03 08:00:00+07:00,4.44,533.0,26.8,22.988779067993164,21.0,88.0,4.43,5.0,12.0,25.0,25.0,25.0
2024-02-03 02:00:00+00:00,2024-02-03 09:00:00+07:00,3.95,545.0,41.2,22.988779067993164,22.0,83.0,5.28,5.0,12.0,38.0,22.0,38.0
2024-02-03 03:00:00+00:00,2024-02-03 10:00:00+07:00,3.74,598.0,30.9,21.316638946533203,23.0,81.0,5.41,6.0,11.0,29.0,21.0,29.0
2024-02-03 04:00:00+00:00,2024-02-03 11:00:00+07:00,4.86,541.0,32.9,18.51850891113281,23.0,76.0,5.52,5.0,9.0,30.0,27.0,30.0
2024-02-03 05:00:00+00:00,2024-02-03 12:00:00+07:00,5.12,557.0,34.3,16.610958099365234,23.0,67.0,5.53,6.0,8.0,32.0,28.0,32.0
2024-02-03 06:00:00+00:00,2024-02-03 13:00:00+07:00,3.69,548.0,31.2,16.582107543945312,24.0,63.0,5.87,5.0,8.0,29.0,20.0,29.0
2024-02-03 07:00:00+00:00,2024-02-03 14:00:00+07:00,4.1,534.0,40.8,16.582107543945312,24.0,65.0,6.43,5.0,8.0,38.0,23.0,38.0
2024-02-03 08:00:00+00:00,2024-02-03 15:00:00+07:00,3.22,467.0,38.9,16.582107543945312,25.0,66.0,6.28,5.0,8.0,36.0,18.0,36.0
2024-02-03 09:00:00+00:00,2024-02-03 16:00:00+07:00,2.54,525.0,39.7,16.582107543945312,24.0,66.0,6.25,5.0,8.0,37.0,14.0,37.0
2024-02-03 10:00:00+00:00,2024-02-03 17:00:00+07:00,2.61,539.0,38.0,16.582107543945312,23.0,71.0,6.15,5.0,8.0,35.0,14.0,35.0
2024-02-03 11:00:00+00:00,2024-02-03 18:00:00+07:00,2.11,558.0,33.8,18.48965835571289,23.0,76.0,5.94,6.0,9.0,31.0,12.0,31.0
2024-02-03 12:00:00+00:00,2024-02-03 19:00:00+07:00,2.86,534.0,34.7,22.45934295654297,22.0,82.0,5.41,5.0,11.0,32.0,16.0,32.0
2024-02-03 13:00:00+00:00,2024-02-03 20:00:00+07:00,2.92,503.0,44.4,21.594926834106445,22.0,83.0,5.41,5.0,11.0,41.0,16.0,41.0
2024-02-03 14:00:00+00:00,2024-02-03 21:00:00+07:00,3.55,546.0,42.8,21.594926834106445,22.0,85.0,5.65,5.0,11.0,40.0,20.0,40.0
2024-02-03 15:00:00+00:00,2024-02-03 22:00:00+07:00,3.83,511.0,43.5,21.594926834106445,21.0,88.0,5.53,5.0,11.0,40.0,21.0,40.0
2024-02-03 16:00:00+00:00,2024-02-03 23:00:00+07:00,3.3,413.0,33.6,22.45934295654297,21.0,89.0,4.98,4.0,11.0,31.0,18.0,31.0
2024-02-03 17:00:00+00:00,2024-02-04 00:00:00+07:00,2.86,352.0,30.3,22.45934295654297,21.0,89.0,4.61,3.0,11.0,28.0,16.0,28.0
2024-02-03 18:00:00+00:00,2024-02-04 01:00:00+07:00,2.48,306.0,23.4,22.45934295654297,21.0,90.0,3.74,3.0,11.0,22.0,14.0,22.0
2024-02-03 19:00:00+00:00,2024-02-04 02:00:00+07:00,4.68,272.0,16.8,21.95875740051269,21.0,91.0,4.23,3.0,11.0,16.0,26.0,26.0
2024-02-03 20:00:00+00:00,2024-02-04 03:00:00+07:00,5.22,248.0,15.4,21.95875740051269,21.0,91.0,4.05,2.0,11.0,14.0,29.0,29.0
2024-02-03 21:00:00+00:00,2024-02-04 04:00:00+07:00,5.04,257.0,11.9,21.95875740051269,21.0,92.0,3.86,3.0,11.0,11.0,28.0,28.0
2024-02-03 22:00:00+00:00,2024-02-04 05:00:00+07:00,4.65,294.0,15.9,21.95875740051269,21.0,93.0,3.56,3.0,11.0,15.0,26.0,26.0
2024-02-03 23:00:00+00:00,2024-02-04 06:00:00+07:00,5.08,379.0,12.2,21.95875740051269,21.0,93.0,3.31,4.0,11.0,11.0,28.0,28.0
2024-02-04 00:00:00+00:00,2024-02-04 07:00:00+07:00,4.04,461.0,17.3,23.210792541503903,21.0,94.0,3.03,5.0,12.0,16.0,22.0,22.0
2024-02-04 01:00:00+00:00,2024-02-04 08:00:00+07:00,4.9,570.0,28.2,22.48819351196289,21.0,90.0,3.76,6.0,11.0,26.0,27.0,27.0
2024-02-04 02:00:00+00:00,2024-02-04 09:00:00+07:00,4.59,746.0,33.4,23.212949752807617,22.0,83.0,3.71,7.0,12.0,31.0,26.0,31.0
2024-02-04 03:00:00+00:00,2024-02-04 10:00:00+07:00,9.68,675.0,37.3,18.51850891113281,23.0,75.0,3.48,7.0,9.0,35.0,52.0,52.0
2024-02-04 04:00:00+00:00,2024-02-04 11:00:00+07:00,8.83,639.0,49.0,15.746543884277344,24.0,67.0,3.46,6.0,8.0,45.0,49.0,49.0
2024-02-04 05:00:00+00:00,2024-02-04 12:00:00+07:00,16.4,567.0,51.4,15.746543884277344,26.0,61.0,2.91,6.0,8.0,48.0,65.0,65.0
2024-02-04 06:00:00+00:00,2024-02-04 13:00:00+07:00,12.2,476.0,37.2,16.948387145996094,27.0,52.0,3.16,5.0,8.0,34.0,57.0,57.0
2024-02-04 07:00:00+00:00,2024-02-04 14:00:00+07:00,10.2,469.0,33.5,17.360612869262695,27.0,48.0,2.83,5.0,9.0,31.0,53.0,53.0
2024-02-04 08:00:00+00:00,2024-02-04 15:00:00+07:00,9.29,502.0,29.6,17.360612869262695,28.0,48.0,4.12,5.0,9.0,27.0,51.0,51.0
